category,source_dataset,original_pid,allocation,stage_id,original_train_images
boat,boat,3,validation,,35
boat,boat,35,validation,,28
boat,boat,7,validation,,35
boat,boat,97,validation,,49
panda,ipanda50,01,train,t2,62
panda,ipanda50,08,train,t2,79
panda,ipanda50,14,train,t2,166
panda,ipanda50,18,train,t2,50
panda,ipanda50,20,train,t2,108
panda,ipanda50,22,train,t2,202
panda,ipanda50,27,train,t2,141
panda,ipanda50,28,train,t2,260
panda,ipanda50,30,train,t2,164
panda,ipanda50,33,train,t2,205
panda,ipanda50,34,train,t2,69
panda,ipanda50,37,train,t2,162
panda,ipanda50,40,train,t2,89
panda,ipanda50,41,train,t2,158
panda,ipanda50,42,train,t2,59
panda,ipanda50,49,train,t2,58
panda,ipanda50,00,train,t3,261
panda,ipanda50,02,train,t3,186
panda,ipanda50,06,train,t3,80
panda,ipanda50,07,train,t3,52
panda,ipanda50,13,train,t3,292
panda,ipanda50,15,train,t3,180
panda,ipanda50,17,train,t3,189
panda,ipanda50,32,train,t3,229
panda,ipanda50,35,train,t3,235
panda,ipanda50,36,train,t3,182
panda,ipanda50,38,train,t3,68
panda,ipanda50,43,train,t3,61
panda,ipanda50,44,train,t3,200
panda,ipanda50,47,train,t3,248
panda,ipanda50,48,train,t3,197
panda,ipanda50,05,validation,,96
panda,ipanda50,10,validation,,242
panda,ipanda50,24,validation,,49
panda,ipanda50,46,validation,,100
person,market1501,1002,train,t1,10
person,market1501,1018,train,t1,11
person,market1501,1023,train,t1,12
person,market1501,1031,train,t1,14
person,market1501,1032,train,t1,15
person,market1501,104,train,t1,50
person,market1501,1051,train,t1,7
person,market1501,1056,train,t1,14
person,market1501,1078,train,t1,11
person,market1501,108,train,t1,6
person,market1501,1080,train,t1,10
person,market1501,1086,train,t1,22
person,market1501,1088,train,t1,14
person,market1501,1091,train,t1,12
person,market1501,1093,train,t1,14
person,market1501,1098,train,t1,16
person,market1501,1099,train,t1,5
person,market1501,1110,train,t1,10
person,market1501,1111,train,t1,20
person,market1501,1112,train,t1,17
person,market1501,1116,train,t1,17
person,market1501,1117,train,t1,17
person,market1501,1127,train,t1,15
person,market1501,1135,train,t1,25
person,market1501,116,train,t1,37
person,market1501,1165,train,t1,16
person,market1501,117,train,t1,6
person,market1501,1177,train,t1,26
person,market1501,1179,train,t1,26
person,market1501,1197,train,t1,13
person,market1501,1206,train,t1,5
person,market1501,121,train,t1,29
person,market1501,1213,train,t1,16
person,market1501,1217,train,t1,6
person,market1501,122,train,t1,4
person,market1501,1227,train,t1,13
person,market1501,1235,train,t1,40
person,market1501,125,train,t1,4
person,market1501,1260,train,t1,34
person,market1501,1263,train,t1,17
person,market1501,1266,train,t1,14
person,market1501,1269,train,t1,23
person,market1501,127,train,t1,23
person,market1501,1286,train,t1,22
person,market1501,1289,train,t1,6
person,market1501,1296,train,t1,15
person,market1501,1304,train,t1,17
person,market1501,1318,train,t1,18
person,market1501,1321,train,t1,18
person,market1501,1325,train,t1,7
person,market1501,1332,train,t1,8
person,market1501,1336,train,t1,29
person,market1501,134,train,t1,4
person,market1501,1341,train,t1,8
person,market1501,1379,train,t1,17
person,market1501,1380,train,t1,16
person,market1501,1385,train,t1,22
person,market1501,1386,train,t1,5
person,market1501,1400,train,t1,17
person,market1501,1402,train,t1,10
person,market1501,1405,train,t1,8
person,market1501,1406,train,t1,6
person,market1501,1409,train,t1,13
person,market1501,1411,train,t1,13
person,market1501,1415,train,t1,5
person,market1501,142,train,t1,28
person,market1501,1420,train,t1,15
person,market1501,1433,train,t1,16
person,market1501,1437,train,t1,16
person,market1501,1443,train,t1,24
person,market1501,1455,train,t1,14
person,market1501,1458,train,t1,10
person,market1501,1466,train,t1,11
person,market1501,1495,train,t1,33
person,market1501,1496,train,t1,16
person,market1501,151,train,t1,3
person,market1501,158,train,t1,35
person,market1501,160,train,t1,11
person,market1501,167,train,t1,8
person,market1501,175,train,t1,12
person,market1501,178,train,t1,25
person,market1501,184,train,t1,33
person,market1501,185,train,t1,15
person,market1501,190,train,t1,5
person,market1501,195,train,t1,21
person,market1501,197,train,t1,39
person,market1501,199,train,t1,4
person,market1501,209,train,t1,28
person,market1501,211,train,t1,6
person,market1501,214,train,t1,5
person,market1501,224,train,t1,38
person,market1501,23,train,t1,20
person,market1501,239,train,t1,17
person,market1501,243,train,t1,28
person,market1501,251,train,t1,19
person,market1501,264,train,t1,40
person,market1501,273,train,t1,20
person,market1501,28,train,t1,11
person,market1501,282,train,t1,9
person,market1501,287,train,t1,12
person,market1501,296,train,t1,25
person,market1501,298,train,t1,12
person,market1501,299,train,t1,52
person,market1501,308,train,t1,32
person,market1501,317,train,t1,4
person,market1501,318,train,t1,15
person,market1501,321,train,t1,27
person,market1501,326,train,t1,9
person,market1501,327,train,t1,10
person,market1501,333,train,t1,56
person,market1501,339,train,t1,11
person,market1501,340,train,t1,27
person,market1501,344,train,t1,32
person,market1501,354,train,t1,29
person,market1501,358,train,t1,21
person,market1501,361,train,t1,15
person,market1501,368,train,t1,20
person,market1501,369,train,t1,13
person,market1501,37,train,t1,20
person,market1501,379,train,t1,13
person,market1501,386,train,t1,8
person,market1501,389,train,t1,3
person,market1501,398,train,t1,8
person,market1501,399,train,t1,12
person,market1501,414,train,t1,22
person,market1501,420,train,t1,19
person,market1501,421,train,t1,27
person,market1501,424,train,t1,16
person,market1501,429,train,t1,4
person,market1501,432,train,t1,25
person,market1501,433,train,t1,7
person,market1501,472,train,t1,18
person,market1501,477,train,t1,13
person,market1501,48,train,t1,31
person,market1501,482,train,t1,16
person,market1501,486,train,t1,18
person,market1501,500,train,t1,16
person,market1501,509,train,t1,6
person,market1501,515,train,t1,9
person,market1501,516,train,t1,15
person,market1501,519,train,t1,26
person,market1501,52,train,t1,10
person,market1501,524,train,t1,6
person,market1501,525,train,t1,23
person,market1501,529,train,t1,7
person,market1501,53,train,t1,5
person,market1501,539,train,t1,10
person,market1501,546,train,t1,8
person,market1501,547,train,t1,17
person,market1501,556,train,t1,17
person,market1501,558,train,t1,18
person,market1501,56,train,t1,12
person,market1501,565,train,t1,49
person,market1501,566,train,t1,14
person,market1501,570,train,t1,18
person,market1501,572,train,t1,19
person,market1501,575,train,t1,34
person,market1501,593,train,t1,8
person,market1501,597,train,t1,20
person,market1501,605,train,t1,47
person,market1501,612,train,t1,26
person,market1501,613,train,t1,26
person,market1501,614,train,t1,22
person,market1501,615,train,t1,14
person,market1501,623,train,t1,18
person,market1501,629,train,t1,30
person,market1501,64,train,t1,9
person,market1501,645,train,t1,14
person,market1501,647,train,t1,17
person,market1501,648,train,t1,20
person,market1501,649,train,t1,12
person,market1501,655,train,t1,34
person,market1501,656,train,t1,27
person,market1501,657,train,t1,19
person,market1501,659,train,t1,12
person,market1501,661,train,t1,10
person,market1501,662,train,t1,13
person,market1501,666,train,t1,33
person,market1501,676,train,t1,36
person,market1501,677,train,t1,14
person,market1501,683,train,t1,27
person,market1501,685,train,t1,35
person,market1501,688,train,t1,28
person,market1501,701,train,t1,8
person,market1501,703,train,t1,22
person,market1501,707,train,t1,29
person,market1501,718,train,t1,16
person,market1501,729,train,t1,32
person,market1501,730,train,t1,28
person,market1501,734,train,t1,10
person,market1501,752,train,t1,7
person,market1501,757,train,t1,23
person,market1501,759,train,t1,25
person,market1501,76,train,t1,39
person,market1501,762,train,t1,39
person,market1501,77,train,t1,7
person,market1501,779,train,t1,15
person,market1501,782,train,t1,5
person,market1501,785,train,t1,38
person,market1501,795,train,t1,15
person,market1501,802,train,t1,14
person,market1501,81,train,t1,51
person,market1501,820,train,t1,41
person,market1501,821,train,t1,8
person,market1501,826,train,t1,15
person,market1501,830,train,t1,38
person,market1501,844,train,t1,17
person,market1501,855,train,t1,6
person,market1501,891,train,t1,6
person,market1501,904,train,t1,14
person,market1501,905,train,t1,14
person,market1501,917,train,t1,11
person,market1501,93,train,t1,10
person,market1501,936,train,t1,12
person,market1501,945,train,t1,9
person,market1501,946,train,t1,7
person,market1501,952,train,t1,18
person,market1501,957,train,t1,11
person,market1501,970,train,t1,16
person,market1501,972,train,t1,10
person,market1501,975,train,t1,14
person,market1501,982,train,t1,9
person,market1501,986,train,t1,12
person,market1501,987,train,t1,15
person,market1501,998,train,t1,18
person,market1501,10,train,t2,11
person,market1501,1000,train,t2,14
person,market1501,1001,train,t2,22
person,market1501,1004,train,t2,15
person,market1501,1012,train,t2,12
person,market1501,1019,train,t2,12
person,market1501,1025,train,t2,14
person,market1501,1038,train,t2,12
person,market1501,1041,train,t2,9
person,market1501,1045,train,t2,8
person,market1501,105,train,t2,70
person,market1501,106,train,t2,18
person,market1501,107,train,t2,43
person,market1501,1079,train,t2,12
person,market1501,1081,train,t2,23
person,market1501,1097,train,t2,17
person,market1501,11,train,t2,15
person,market1501,1123,train,t2,17
person,market1501,1134,train,t2,17
person,market1501,1138,train,t2,7
person,market1501,115,train,t2,36
person,market1501,1158,train,t2,27
person,market1501,1159,train,t2,37
person,market1501,1162,train,t2,15
person,market1501,1167,train,t2,5
person,market1501,1168,train,t2,10
person,market1501,1178,train,t2,11
person,market1501,12,train,t2,6
person,market1501,1201,train,t2,22
person,market1501,1204,train,t2,17
person,market1501,1218,train,t2,6
person,market1501,1220,train,t2,12
person,market1501,123,train,t2,24
person,market1501,1237,train,t2,3
person,market1501,1240,train,t2,21
person,market1501,1242,train,t2,7
person,market1501,1254,train,t2,13
person,market1501,1261,train,t2,5
person,market1501,1275,train,t2,22
person,market1501,1278,train,t2,33
person,market1501,129,train,t2,2
person,market1501,1291,train,t2,25
person,market1501,1292,train,t2,25
person,market1501,1295,train,t2,8
person,market1501,1313,train,t2,21
person,market1501,1316,train,t2,10
person,market1501,132,train,t2,55
person,market1501,1334,train,t2,26
person,market1501,1338,train,t2,22
person,market1501,1339,train,t2,11
person,market1501,1343,train,t2,8
person,market1501,1344,train,t2,11
person,market1501,1346,train,t2,7
person,market1501,1353,train,t2,10
person,market1501,136,train,t2,15
person,market1501,1365,train,t2,15
person,market1501,1368,train,t2,11
person,market1501,1373,train,t2,6
person,market1501,1389,train,t2,11
person,market1501,1393,train,t2,24
person,market1501,1407,train,t2,13
person,market1501,1408,train,t2,38
person,market1501,1421,train,t2,13
person,market1501,1422,train,t2,20
person,market1501,1426,train,t2,20
person,market1501,1427,train,t2,7
person,market1501,1428,train,t2,23
person,market1501,143,train,t2,3
person,market1501,1430,train,t2,17
person,market1501,1434,train,t2,10
person,market1501,1442,train,t2,10
person,market1501,1445,train,t2,13
person,market1501,1451,train,t2,2
person,market1501,1463,train,t2,8
person,market1501,1467,train,t2,25
person,market1501,1470,train,t2,9
person,market1501,1475,train,t2,13
person,market1501,1479,train,t2,14
person,market1501,149,train,t2,10
person,market1501,1492,train,t2,15
person,market1501,150,train,t2,7
person,market1501,159,train,t2,29
person,market1501,162,train,t2,6
person,market1501,166,train,t2,9
person,market1501,169,train,t2,3
person,market1501,172,train,t2,7
person,market1501,173,train,t2,6
person,market1501,2,train,t2,46
person,market1501,20,train,t2,6
person,market1501,202,train,t2,20
person,market1501,204,train,t2,21
person,market1501,206,train,t2,23
person,market1501,223,train,t2,41
person,market1501,236,train,t2,7
person,market1501,241,train,t2,32
person,market1501,242,train,t2,39
person,market1501,248,train,t2,13
person,market1501,250,train,t2,9
person,market1501,254,train,t2,26
person,market1501,261,train,t2,52
person,market1501,266,train,t2,25
person,market1501,27,train,t2,15
person,market1501,276,train,t2,13
person,market1501,306,train,t2,17
person,market1501,309,train,t2,38
person,market1501,313,train,t2,23
person,market1501,314,train,t2,16
person,market1501,324,train,t2,24
person,market1501,325,train,t2,7
person,market1501,332,train,t2,34
person,market1501,335,train,t2,11
person,market1501,338,train,t2,7
person,market1501,348,train,t2,14
person,market1501,349,train,t2,28
person,market1501,357,train,t2,17
person,market1501,367,train,t2,10
person,market1501,374,train,t2,12
person,market1501,376,train,t2,17
person,market1501,377,train,t2,14
person,market1501,380,train,t2,18
person,market1501,390,train,t2,29
person,market1501,393,train,t2,21
person,market1501,407,train,t2,16
person,market1501,408,train,t2,37
person,market1501,411,train,t2,15
person,market1501,415,train,t2,15
person,market1501,419,train,t2,13
person,market1501,42,train,t2,5
person,market1501,427,train,t2,12
person,market1501,43,train,t2,9
person,market1501,441,train,t2,20
person,market1501,444,train,t2,12
person,market1501,449,train,t2,23
person,market1501,450,train,t2,13
person,market1501,451,train,t2,16
person,market1501,456,train,t2,12
person,market1501,457,train,t2,16
person,market1501,468,train,t2,12
person,market1501,47,train,t2,10
person,market1501,470,train,t2,19
person,market1501,480,train,t2,16
person,market1501,481,train,t2,17
person,market1501,484,train,t2,11
person,market1501,485,train,t2,13
person,market1501,491,train,t2,15
person,market1501,499,train,t2,23
person,market1501,513,train,t2,12
person,market1501,522,train,t2,7
person,market1501,528,train,t2,6
person,market1501,534,train,t2,10
person,market1501,537,train,t2,7
person,market1501,549,train,t2,8
person,market1501,552,train,t2,9
person,market1501,557,train,t2,40
person,market1501,57,train,t2,7
person,market1501,571,train,t2,15
person,market1501,584,train,t2,15
person,market1501,588,train,t2,8
person,market1501,592,train,t2,28
person,market1501,594,train,t2,22
person,market1501,596,train,t2,20
person,market1501,604,train,t2,8
person,market1501,606,train,t2,48
person,market1501,611,train,t2,18
person,market1501,620,train,t2,16
person,market1501,628,train,t2,17
person,market1501,637,train,t2,25
person,market1501,639,train,t2,8
person,market1501,641,train,t2,18
person,market1501,653,train,t2,27
person,market1501,670,train,t2,20
person,market1501,68,train,t2,32
person,market1501,69,train,t2,7
person,market1501,696,train,t2,27
person,market1501,7,train,t2,7
person,market1501,702,train,t2,22
person,market1501,705,train,t2,28
person,market1501,706,train,t2,19
person,market1501,712,train,t2,15
person,market1501,739,train,t2,13
person,market1501,742,train,t2,34
person,market1501,748,train,t2,10
person,market1501,765,train,t2,7
person,market1501,767,train,t2,15
person,market1501,772,train,t2,33
person,market1501,773,train,t2,28
person,market1501,79,train,t2,4
person,market1501,792,train,t2,17
person,market1501,806,train,t2,22
person,market1501,810,train,t2,46
person,market1501,814,train,t2,17
person,market1501,816,train,t2,42
person,market1501,818,train,t2,26
person,market1501,837,train,t2,8
person,market1501,84,train,t2,2
person,market1501,840,train,t2,5
person,market1501,842,train,t2,21
person,market1501,843,train,t2,8
person,market1501,854,train,t2,5
person,market1501,862,train,t2,3
person,market1501,875,train,t2,7
person,market1501,88,train,t2,12
person,market1501,885,train,t2,11
person,market1501,887,train,t2,6
person,market1501,895,train,t2,16
person,market1501,90,train,t2,5
person,market1501,901,train,t2,22
person,market1501,902,train,t2,20
person,market1501,907,train,t2,34
person,market1501,915,train,t2,26
person,market1501,939,train,t2,18
person,market1501,940,train,t2,7
person,market1501,942,train,t2,11
person,market1501,943,train,t2,17
person,market1501,947,train,t2,21
person,market1501,948,train,t2,32
person,market1501,95,train,t2,3
person,market1501,958,train,t2,9
person,market1501,961,train,t2,22
person,market1501,963,train,t2,22
person,market1501,97,train,t2,8
person,market1501,976,train,t2,26
person,market1501,990,train,t2,21
person,market1501,992,train,t2,28
person,market1501,994,train,t2,15
person,market1501,100,train,t3,44
person,market1501,1003,train,t3,25
person,market1501,1007,train,t3,17
person,market1501,1011,train,t3,10
person,market1501,1030,train,t3,10
person,market1501,1039,train,t3,6
person,market1501,1048,train,t3,5
person,market1501,1049,train,t3,5
person,market1501,1052,train,t3,26
person,market1501,1066,train,t3,14
person,market1501,1072,train,t3,5
person,market1501,1076,train,t3,6
person,market1501,1094,train,t3,8
person,market1501,1096,train,t3,14
person,market1501,110,train,t3,26
person,market1501,1100,train,t3,19
person,market1501,1106,train,t3,17
person,market1501,1113,train,t3,9
person,market1501,1114,train,t3,9
person,market1501,1115,train,t3,17
person,market1501,1124,train,t3,14
person,market1501,1126,train,t3,23
person,market1501,1129,train,t3,15
person,market1501,1132,train,t3,15
person,market1501,114,train,t3,5
person,market1501,1140,train,t3,9
person,market1501,1142,train,t3,41
person,market1501,1152,train,t3,23
person,market1501,1157,train,t3,9
person,market1501,1173,train,t3,26
person,market1501,1176,train,t3,25
person,market1501,1189,train,t3,10
person,market1501,1193,train,t3,19
person,market1501,1198,train,t3,12
person,market1501,1200,train,t3,16
person,market1501,1219,train,t3,10
person,market1501,1230,train,t3,11
person,market1501,1231,train,t3,9
person,market1501,1232,train,t3,16
person,market1501,1234,train,t3,11
person,market1501,1238,train,t3,17
person,market1501,1243,train,t3,12
person,market1501,1244,train,t3,21
person,market1501,1250,train,t3,33
person,market1501,1252,train,t3,9
person,market1501,1253,train,t3,17
person,market1501,1258,train,t3,19
person,market1501,1281,train,t3,18
person,market1501,1294,train,t3,12
person,market1501,1297,train,t3,16
person,market1501,1300,train,t3,15
person,market1501,1309,train,t3,14
person,market1501,1315,train,t3,8
person,market1501,1320,train,t3,26
person,market1501,1327,train,t3,11
person,market1501,1330,train,t3,8
person,market1501,1331,train,t3,11
person,market1501,1335,train,t3,19
person,market1501,135,train,t3,9
person,market1501,1350,train,t3,15
person,market1501,1358,train,t3,19
person,market1501,1363,train,t3,9
person,market1501,1372,train,t3,17
person,market1501,140,train,t3,5
person,market1501,1404,train,t3,12
person,market1501,141,train,t3,5
person,market1501,1432,train,t3,10
person,market1501,1449,train,t3,18
person,market1501,1453,train,t3,10
person,market1501,1454,train,t3,16
person,market1501,1464,train,t3,8
person,market1501,1471,train,t3,10
person,market1501,1473,train,t3,10
person,market1501,1474,train,t3,14
person,market1501,1480,train,t3,18
person,market1501,1487,train,t3,15
person,market1501,1500,train,t3,9
person,market1501,164,train,t3,4
person,market1501,176,train,t3,19
person,market1501,177,train,t3,17
person,market1501,179,train,t3,13
person,market1501,180,train,t3,14
person,market1501,181,train,t3,18
person,market1501,201,train,t3,9
person,market1501,212,train,t3,5
person,market1501,216,train,t3,27
person,market1501,221,train,t3,19
person,market1501,222,train,t3,28
person,market1501,225,train,t3,30
person,market1501,232,train,t3,54
person,market1501,234,train,t3,8
person,market1501,237,train,t3,15
person,market1501,245,train,t3,8
person,market1501,255,train,t3,44
person,market1501,259,train,t3,31
person,market1501,268,train,t3,23
person,market1501,269,train,t3,39
person,market1501,272,train,t3,67
person,market1501,277,train,t3,6
person,market1501,281,train,t3,27
person,market1501,297,train,t3,14
person,market1501,301,train,t3,15
person,market1501,32,train,t3,24
person,market1501,323,train,t3,3
person,market1501,328,train,t3,9
person,market1501,331,train,t3,30
person,market1501,341,train,t3,12
person,market1501,35,train,t3,19
person,market1501,350,train,t3,30
person,market1501,359,train,t3,24
person,market1501,370,train,t3,16
person,market1501,375,train,t3,21
person,market1501,382,train,t3,4
person,market1501,383,train,t3,7
person,market1501,384,train,t3,16
person,market1501,385,train,t3,20
person,market1501,392,train,t3,5
person,market1501,394,train,t3,17
person,market1501,402,train,t3,5
person,market1501,404,train,t3,21
person,market1501,409,train,t3,41
person,market1501,410,train,t3,8
person,market1501,430,train,t3,25
person,market1501,437,train,t3,11
person,market1501,442,train,t3,20
person,market1501,445,train,t3,9
person,market1501,446,train,t3,9
person,market1501,464,train,t3,11
person,market1501,466,train,t3,21
person,market1501,475,train,t3,26
person,market1501,494,train,t3,16
person,market1501,496,train,t3,21
person,market1501,503,train,t3,12
person,market1501,508,train,t3,24
person,market1501,517,train,t3,22
person,market1501,518,train,t3,9
person,market1501,536,train,t3,6
person,market1501,540,train,t3,7
person,market1501,554,train,t3,18
person,market1501,555,train,t3,24
person,market1501,563,train,t3,4
person,market1501,564,train,t3,16
person,market1501,579,train,t3,7
person,market1501,581,train,t3,33
person,market1501,586,train,t3,8
person,market1501,589,train,t3,29
person,market1501,59,train,t3,3
person,market1501,599,train,t3,8
person,market1501,603,train,t3,23
person,market1501,616,train,t3,22
person,market1501,619,train,t3,13
person,market1501,622,train,t3,7
person,market1501,630,train,t3,23
person,market1501,633,train,t3,23
person,market1501,635,train,t3,19
person,market1501,636,train,t3,16
person,market1501,640,train,t3,7
person,market1501,642,train,t3,21
person,market1501,65,train,t3,27
person,market1501,658,train,t3,14
person,market1501,660,train,t3,5
person,market1501,665,train,t3,22
person,market1501,669,train,t3,12
person,market1501,67,train,t3,31
person,market1501,674,train,t3,13
person,market1501,689,train,t3,33
person,market1501,697,train,t3,32
person,market1501,70,train,t3,5
person,market1501,704,train,t3,33
person,market1501,708,train,t3,9
person,market1501,709,train,t3,27
person,market1501,714,train,t3,19
person,market1501,724,train,t3,32
person,market1501,726,train,t3,19
person,market1501,733,train,t3,20
person,market1501,738,train,t3,20
person,market1501,744,train,t3,9
person,market1501,754,train,t3,24
person,market1501,755,train,t3,44
person,market1501,766,train,t3,23
person,market1501,780,train,t3,49
person,market1501,793,train,t3,15
person,market1501,796,train,t3,19
person,market1501,803,train,t3,20
person,market1501,809,train,t3,23
person,market1501,823,train,t3,4
person,market1501,828,train,t3,21
person,market1501,832,train,t3,5
person,market1501,839,train,t3,10
person,market1501,848,train,t3,9
person,market1501,849,train,t3,6
person,market1501,851,train,t3,29
person,market1501,859,train,t3,8
person,market1501,86,train,t3,4
person,market1501,863,train,t3,7
person,market1501,871,train,t3,5
person,market1501,876,train,t3,5
person,market1501,879,train,t3,16
person,market1501,882,train,t3,10
person,market1501,883,train,t3,7
person,market1501,890,train,t3,7
person,market1501,892,train,t3,9
person,market1501,893,train,t3,8
person,market1501,894,train,t3,7
person,market1501,896,train,t3,11
person,market1501,898,train,t3,10
person,market1501,900,train,t3,12
person,market1501,903,train,t3,12
person,market1501,914,train,t3,25
person,market1501,919,train,t3,17
person,market1501,926,train,t3,13
person,market1501,930,train,t3,9
person,market1501,941,train,t3,18
person,market1501,953,train,t3,16
person,market1501,954,train,t3,20
person,market1501,962,train,t3,20
person,market1501,969,train,t3,18
person,market1501,979,train,t3,9
person,market1501,98,train,t3,3
person,market1501,988,train,t3,14
person,market1501,99,train,t3,5
person,market1501,991,train,t3,8
person,market1501,995,train,t3,8
person,market1501,997,train,t3,20
person,market1501,999,train,t3,18
person,market1501,1010,validation,,12
person,market1501,1017,validation,,20
person,market1501,1027,validation,,12
person,market1501,1033,validation,,7
person,market1501,1055,validation,,7
person,market1501,1071,validation,,19
person,market1501,1075,validation,,18
person,market1501,1101,validation,,18
person,market1501,1107,validation,,34
person,market1501,111,validation,,26
person,market1501,1169,validation,,25
person,market1501,118,validation,,8
person,market1501,1257,validation,,6
person,market1501,1303,validation,,16
person,market1501,1326,validation,,9
person,market1501,1364,validation,,17
person,market1501,1381,validation,,19
person,market1501,139,validation,,72
person,market1501,1391,validation,,22
person,market1501,1392,validation,,11
person,market1501,1447,validation,,8
person,market1501,1469,validation,,12
person,market1501,148,validation,,54
person,market1501,1489,validation,,7
person,market1501,193,validation,,26
person,market1501,208,validation,,63
person,market1501,22,validation,,59
person,market1501,249,validation,,5
person,market1501,279,validation,,27
person,market1501,30,validation,,5
person,market1501,303,validation,,24
person,market1501,307,validation,,27
person,market1501,347,validation,,16
person,market1501,352,validation,,10
person,market1501,371,validation,,10
person,market1501,397,validation,,7
person,market1501,403,validation,,21
person,market1501,413,validation,,20
person,market1501,423,validation,,7
person,market1501,434,validation,,19
person,market1501,435,validation,,7
person,market1501,459,validation,,8
person,market1501,46,validation,,9
person,market1501,545,validation,,15
person,market1501,551,validation,,23
person,market1501,573,validation,,21
person,market1501,652,validation,,18
person,market1501,663,validation,,12
person,market1501,667,validation,,15
person,market1501,673,validation,,28
person,market1501,681,validation,,20
person,market1501,682,validation,,26
person,market1501,700,validation,,21
person,market1501,711,validation,,26
person,market1501,741,validation,,30
person,market1501,749,validation,,17
person,market1501,760,validation,,26
person,market1501,761,validation,,25
person,market1501,774,validation,,20
person,market1501,781,validation,,11
person,market1501,787,validation,,15
person,market1501,788,validation,,48
person,market1501,82,validation,,8
person,market1501,833,validation,,34
person,market1501,850,validation,,9
person,market1501,857,validation,,3
person,market1501,864,validation,,3
person,market1501,868,validation,,7
person,market1501,872,validation,,8
person,market1501,886,validation,,13
person,market1501,933,validation,,29
person,market1501,955,validation,,16
person,market1501,967,validation,,14
person,market1501,971,validation,,10
person,market1501,973,validation,,23
person,market1501,984,validation,,16
tiger,atrw,1,train,t2,10
tiger,atrw,106,train,t2,17
tiger,atrw,109,train,t2,10
tiger,atrw,12,train,t2,11
tiger,atrw,124,train,t2,12
tiger,atrw,126,train,t2,12
tiger,atrw,13,train,t2,14
tiger,atrw,130,train,t2,11
tiger,atrw,132,train,t2,10
tiger,atrw,139,train,t2,11
tiger,atrw,145,train,t2,16
tiger,atrw,148,train,t2,10
tiger,atrw,153,train,t2,98
tiger,atrw,160,train,t2,97
tiger,atrw,171,train,t2,16
tiger,atrw,178,train,t2,14
tiger,atrw,195,train,t2,10
tiger,atrw,213,train,t2,11
tiger,atrw,220,train,t2,11
tiger,atrw,223,train,t2,14
tiger,atrw,228,train,t2,12
tiger,atrw,243,train,t2,41
tiger,atrw,249,train,t2,37
tiger,atrw,25,train,t2,12
tiger,atrw,253,train,t2,14
tiger,atrw,256,train,t2,20
tiger,atrw,259,train,t2,16
tiger,atrw,267,train,t2,23
tiger,atrw,268,train,t2,27
tiger,atrw,27,train,t2,10
tiger,atrw,271,train,t2,14
tiger,atrw,273,train,t2,16
tiger,atrw,274,train,t2,13
tiger,atrw,30,train,t2,13
tiger,atrw,33,train,t2,11
tiger,atrw,39,train,t2,12
tiger,atrw,40,train,t2,14
tiger,atrw,45,train,t2,12
tiger,atrw,51,train,t2,10
tiger,atrw,54,train,t2,19
tiger,atrw,55,train,t2,22
tiger,atrw,6,train,t2,14
